iter	Passed	Remaining
1415	40958	16892
1416	40986	16863
1417	41004	16829
1418	41025	16797
1419	41053	16768
1420	41084	16740
1421	41120	16714
1422	41150	16685
1423	41174	16654
1424	41205	16626
1425	41235	16598
1426	41256	16566
1427	41279	16534
1428	41305	16505
1429	41337	16477
1430	41365	16447
1431	41393	16418
1432	41414	16386
1433	41439	16356
1434	41454	16321
1435	41487	16294
1436	41511	16263
1437	41535	16232
1438	41558	16201
1439	41583	16171
1440	41610	16141
1441	41647	16116
1442	41675	16086
1443	41706	16058
1444	41737	16030
1445	41762	16000
1446	41795	15973
1447	41827	15945
1448	41858	15917
1449	41889	15889
1450	41920	15860
1451	41941	15829
1452	41963	15797
1453	41994	15769
1454	42011	15736
1455	42037	15706
1456	42060	15675
1457	42083	15644
1458	42110	15614
1459	42136	15584
1460	42156	15552
1461	42184	15523
1462	42215	15495
1463	42237	15464
1464	42263	15434
1465	42288	15403
1466	42320	15376
1467	42355	15349
1468	42383	15320
1469	42409	15290
1470	42428	15257
1471	42453	15227
1472	42475	15196
1473	42501	15166
1474	42525	15136
1475	42543	15103
1476	42564	15071
1477	42585	15040
1478	42613	15011
1479	42633	14979
1480	42650	14946
1481	42678	14917
1482	42710	14889
1483	42741	14861
1484	42774	14834
1485	42802	14805
1486	42855	14784
1487	42877	14753
1488	42904	14724
1489	42934	14695
1490	42956	14664
1491	42978	14633
1492	42997	14601
1493	43023	14571
1494	43053	14543
1495	43077	14512
1496	43106	14484
1497	43133	14454
1498	43162	14425
1499	43191	14397
1500	43214	14366
1501	43236	14335
1502	43266	14306
1503	43292	14277
1504	43321	14248
1505	43343	14217
1506	43370	14188
1507	43395	14158
1508	43420	14128
1509	43452	14100
1510	43479	14071
1511	43510	14043
1512	43535	14013
1513	43561	13983
1514	43580	13951
1515	43608	13922
1516	43639	13894
1517	43667	13865
1518	43694	13836
1519	43711	13803
1520	43732	13772
1521	43753	13741
1522	43789	13714
1523	43814	13684
1524	43839	13654
1525	43863	13624
1526	43889	13595
1527	43923	13567
1528	43953	13539
1529	43984	13511
1530	44009	13481
1531	44041	13453
1532	44068	13424
1533	44085	13392
1534	44109	13362
1535	44145	13335
1536	44184	13309
1537	44212	13280
1538	44240	13252
1539	44270	13223
1540	44295	13193
1541	44322	13164
1542	44351	13135
1543	44385	13108
1544	44413	13079
1545	44445	13051
1546	44480	13024
1547	44509	12996
1548	44537	12967
1549	44560	12936
1550	44578	12905
1551	44602	12874
1552	44631	12846
1553	44658	12816
1554	44689	12788
1555	44722	12761
1556	44757	12734
1557	44791	12707
1558	44809	12675
1559	44840	12647
1560	44877	12621
1561	44903	12591
1562	44923	12560
1563	44952	12531
1564	44986	12504
1565	45015	12475
1566	45044	12446
1567	45072	12417
1568	45090	12386
1569	45122	12358
1570	45149	12329
1571	45172	12298
1572	45199	12269
1573	45229	12241
1574	45255	12211
1575	45283	12183
1576	45313	12154
1577	45344	12126
1578	45364	12095
1579	45393	12066
1580	45413	12035
1581	45448	12008
1582	45468	11977
1583	45497	11948
1584	45529	11920
1585	45551	11890
1586	45575	11860
1587	45595	11829
1588	45620	11799
1589	45638	11768
1590	45662	11738
1591	45680	11706
1592	45708	11678
1593	45740	11650
1594	45772	11622
1595	45807	11595
1596	45835	11566
1597	45862	11537
1598	45886	11507
1599	45920	11480
1600	45941	11449
1601	45968	11420
1602	45997	11391
1603	46025	11362
1604	46043	11331
1605	46069	11302
1606	46096	11273
1607	46120	11243
1608	46151	11215
1609	46183	11187
1610	46213	11158
1611	46238	11129
1612	46264	11100
1613	46287	11069
1614	46315	11041
1615	46343	11012
1616	46369	10982
1617	46397	10954
1618	46424	10925
1619	46451	10896
1620	46484	10868
1621	46511	10839
1622	46530	10808
1623	46550	10777
1624	46577	10748
1625	46601	10718
1626	46628	10689
1627	46656	10661
1628	46688	10633
1629	46714	10603
1630	46747	10576
1631	46776	10547
1632	46796	10517
1633	46821	10487
1634	46848	10458
1635	46884	10431
1636	46906	10401
1637	46935	10372
1638	46958	10342
1639	46982	10313
1640	47006	10283
1641	47033	10254
1642	47059	10225
1643	47085	10196
1644	47112	10167
1645	47136	10137
1646	47161	10108
1647	47182	10077
1648	47214	10049
1649	47236	10019
1650	47269	9992
1651	47296	9963
1652	47318	9933
1653	47344	9903
1654	47370	9874
1655	47389	9844
1656	47424	9816
1657	47449	9787
1658	47475	9758
1659	47501	9729
1660	47534	9701
1661	47564	9673
1662	47594	9644
